Expression,Lemmatized_Form,Type,Confidence,Length,Source_URL
"Zweiten Weltkrieges","zweiten weltkrieges","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutsche zu","deutsch zu","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"sind in","sind in","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"pour la","pour la","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mai 2019","mai 2019","COLLOCATION",0,770,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Spätmittelalter bis","spätmittelalter bis","COLLOCATION",0,876,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"weisen sowohl","weis sowohl","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Einführung","einführung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"2,5 Millionen","2,5 millionen","COLLOCATION",0,863,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"August 2019","august 2019","COLLOCATION",0,749,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
""" Ansbachisch",""" ansbachisch","COLLOCATION",0,629,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zugänglich war","zugänglich war","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache der","sprach der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"jedoch insbesondere","jedoch insbesondere","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gefolge","gefolge","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die zweite deutsche","die zweit deutsche","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Neu -","neu -","COLLOCATION",0,638,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schriftzeugnisse","schriftzeugnisse","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"August 2022","august 2022","COLLOCATION",0,823,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Patrimônio Histórico","patrimônio histórico","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wochenzeitungen","wochenzeitungen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein Deckung","ein deckung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"rund 3","rund 3","COLLOCATION",0,563,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"rund 4","rund 4","COLLOCATION",0,595,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutscher Sprache","deutscher sprache","COLLOCATION",0,509,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Südtiroler","südtiroler","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"August 2009","august 2009","COLLOCATION",0,790,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"so dass","so dass","COLLOCATION",0,773,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Rumänische Regierung","rumänische regierung","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Community","community","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"war allerdings","war allerdings","COLLOCATION",0,698,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"- Holstein","- holstein","COLLOCATION",0,712,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"dtv- Atlas","dtv- atlas","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu überregionales","zu überregionales","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache sind","sprach sind","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu überregionalen","zu überregionalen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Association –","association –","COLLOCATION",0,712,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"rund 7","rund 7","COLLOCATION",0,604,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aus Standardabweichung","aus standardabweichung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gjermanisht","gjermanisht","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Deutsch beherrschen","deutsch beherrschen","COLLOCATION",0,519,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"das Niederländische","das niederländische","COLLOCATION",0,623,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bodensees und","bodensees und","COLLOCATION",0,558,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"-ISBN 978-3","-isbn 978-3","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu Lehnwörtern","zu lehnwörtern","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"FIFA Fédération","fifa fédération","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Süden","im süd","COLLOCATION",0,512,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Untertitelung der","untertitelung der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Elsässer sehr","elsäss sehr","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"überwiegend auf","überwiegend auf","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Klaus -","klaus -","COLLOCATION",0,670,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"6 Prozent","6 prozent","COLLOCATION",0,726,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"besonders im","besonders im","COLLOCATION",0,503,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Website","website","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"( Sprachcodes","( sprachcodes","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Hilfssprache","hilfssprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Deutschlerner","deutschlerner","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mehrheit der","mehrheit der","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Polen seit","polen seit","COLLOCATION",0,766,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Forderung auf","forderung auf","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"anerkannten im","anerkannten im","COLLOCATION",0,671,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der Steiermark","der steiermark","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"beide gemäss","beide gemäss","COLLOCATION",0,947,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"des Sprachgebiets","des sprachgebiets","COLLOCATION",0,695,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Einzelnen folgende","einzelnen folgende","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachraum","sprachraum","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"; so","; so","COLLOCATION",0,535,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"FIBA Fédération","fiba fédération","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"- Rheinfränkisch","- rheinfränkisch","COLLOCATION",0,553,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den südjütischen","den südjütischen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ländern eine","ländern eine","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
""" Fränkisch",""" fränkisch","COLLOCATION",0,629,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Im Allgemeinen","im allgemeinen","COLLOCATION",0,612,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"bis 16","bis 16","COLLOCATION",0,593,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutsche Urkundensprache","deutsche urkundensprache","COLLOCATION",0,745,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Südtirols","südtirols","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"rund 0,6","rund 0,6","COLLOCATION",0,895,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Eine Einführung","eine einführung","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gegensatz","gegensatz","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"insofern ist","insofern ist","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Lateinisch als","lateinisch als","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach Schätzungen","nach schätzungen","COLLOCATION",0,735,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ländern","ländern","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Einflüssen","einflüssen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mit kulturellen","mit kulturellen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schriftstücke","schriftstücke","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Slowakei","slowakei","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Volksmusik","volksmusik","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und Wilhelm","und wilhelm","COLLOCATION",0,558,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ländern aus","ländern aus","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"In Norddeutschland","in norddeutschland","COLLOCATION",0,540,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"sprachen 2012","sprach 2012","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mit denen","mit denen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"innerhalb des","innerhalb des","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Cultures","cultures","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und Rätoromanisch","und rätoromanisch","COLLOCATION",0,558,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach hatten","nach hatten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die lokal verbreiteten","die lokal verbreiteten","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"L' Alsace","l' alsace","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Das Luxemburgische","das luxemburgische","COLLOCATION",0,681,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ostmitteldeutsch Südmärkisch","ostmitteldeutsch südmärkisch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Später wurde","später wurde","COLLOCATION",0,747,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Südtiroler Unterlands","südtiroler unterlands","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"lateinischen Alphabets","lateinischen alphabets","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"14 Prozent","14 prozent","COLLOCATION",0,726,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Siedler","siedler","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Internet Archive","internet archiv","COLLOCATION",0,935,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sammelbezeichnung für","sammelbezeichnung für","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Germanski )","germanski )","COLLOCATION",0,501,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"de la","de la","COLLOCATION",0,686,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mit reiches","mit reiches","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aber nach","aber nach","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aus Truppen","aus truppen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Dialekträume","dialekträume","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mit umfassendsten","mit umfassendsten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach meisten","nach meisten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wenn sie","wenn sie","COLLOCATION",0,891,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mecklenburg -Vorpommern","mecklenburg -vorpommern","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mainzer Landfriede","mainzer landfriede","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Menschen gesprochen","menschen gesprochen","COLLOCATION",0,741,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach Gerichtsverfassungsgesetzes","nach gerichtsverfassungsgesetzes","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Muttersprache an","muttersprache an","COLLOCATION",0,653,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Grundstock","grundstock","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"des Bodensees","des bodensees","COLLOCATION",0,695,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Einwohnern Paraguays","einwohnern paraguays","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Landesecho","landesecho","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"- Dieter","- dieter","COLLOCATION",0,712,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"gemeint war","gemeint war","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"( siehe","( sieh","COLLOCATION",0,500,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auf den","auf den","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"oberrheinischen und","oberrheinisch und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"her Zeit","her zeit","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Política Linguística","política linguística","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Reformation","reformation","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und jeder","und jeder","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zulässig wäre","zulässig wäre","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gesamtbevölkerung","gesamtbevölkerung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"spricht Englisch","spricht englisch","COLLOCATION",0,674,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ausser in","ausser in","COLLOCATION",0,540,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die deutsche Standardsprache","die deutsch standardsprache","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"umfasst es","umfasst es","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und der","und der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"e Desenvolvimento","e desenvolvimento","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zulassung","zulassung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"unter rund","unter rund","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wissenschaftssprache","wissenschaftssprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und dem","und dem","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Text auf","text auf","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein reiches","ein reiches","COLLOCATION",0,836,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Minderheit","minderheit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bildern und","bildern und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Elsässer","elsässer","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutsche Gemeinde","deutsch gemeinde","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auf der","auf der","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auf des","auf des","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Des Weiteren","des weiteren","COLLOCATION",0,573,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Umschreibung","umschreibung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Drittel","drittel","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Tageszeitung","tageszeitung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"dem germanischen","dem germanischen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bibelübersetzung","bibelübersetzung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"verboten war","verbot war","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"des Nationalsozialismus dar","des nationalsozialismus dar","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutsche Infrastruktur","deutsche infrastruktur","COLLOCATION",0,745,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Hochdeutsche","hochdeutsche","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"als Umgangssprache","als umgangssprache","COLLOCATION",0,550,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ost -","ost -","COLLOCATION",0,712,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schweizerische","schweizerische","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"– Declara","– declara","COLLOCATION",0,771,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und Luther","und luther","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Staatsministerium","staatsministerium","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"7 Millionen","7 millionen","COLLOCATION",0,573,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die lateinische als","die lateinisch als","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"§ 82","§ 82","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachinseln","sprachinseln","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Logos Verlag","logos verlag","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutschsprachig war","deutschsprachig war","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Unternehmen","unternehmen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"um mit","um mit","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mit starken","mit starken","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ab des","ab des","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"639- 2","639- 2","COLLOCATION",0,991,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Die sächsische","die sächsische","COLLOCATION",0,561,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Webarchiv archive.today","webarchiv archive.today","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ihrer Druckversion","ihr druckversion","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Dieter Lehmann","dieter lehmann","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"diese südlichen","dies südlichen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aus entlehnt","aus entlehnt","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auf Lateinisch","auf lateinisch","COLLOCATION",0,635,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Inschriften","inschriften","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Umgangssprache ist","umgangssprache ist","COLLOCATION",0,645,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"meistgesprochene Muttersprache","meistgesprochene muttersprache","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bobsleigh et","bobsleigh et","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den jüngeren","den jüngeren","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"seit 1927","seit 1927","COLLOCATION",0,908,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sinographems","sinographems","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Herrscherethos","herrscherethos","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Spätmittelalters","spätmittelalters","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Deutsche Sprachgeschichte","deutsche sprachgeschichte","COLLOCATION",0,677,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
